Employee_ID,Hire_Date,Department,Level,Gender,Age,Base_Salary,Bonus_USD,Total_Comp,Tenure_Years,Performance_Score,Attrition,Satisfaction_Score,Training_Hours,Absences
EMP-0019,2016-08-24,HR,Senior,F,45,116250.76,27081.91,143332.67,8.4,2,No,2.6,44,19
EMP-0020,2018-10-19,Marketing,Senior,F,42,132612.96,16162,148774.96,6.2,3.9,No,2.5,36,14
EMP-0021,2017-03-21,HR,Lead,Non-binary,58,93692.04,21246.38,114938.42,7.8,1.3,No,1.9,40,20
EMP-0022,2019-12-09,Legal,Senior,M,45,143444.85,18681.39,162126.24,5.1,2.8,No,1.7,2,4
EMP-0023,2018-11-09,Sales,Mid,F,47,49936.35,796.39,50732.74,6.1,4.5,Yes,1.2,50,16
EMP-0024,2016-02-09,Marketing,Junior,M,41,68256.61,12586.4,80843.01,8.9,2.8,No,1.5,21,0
EMP-0025,2015-11-12,HR,Lead,M,56,170554.35,23389.2,193943.55,9.1,1.5,Yes,1.7,76,14
EMP-0026,2021-09-21,Operations,Senior,M,56,67933.62,1520.93,69454.55,3.3,2.2,No,2,38,0
EMP-0027,2015-09-27,Marketing,Senior,F,52,112589.34,19358.89,131948.23,9.3,3,No,2.2,55,9
EMP-0028,2018-01-18,HR,Mid,M,57,98380.42,6146.22,104526.64,7,3.9,No,4.3,28,8
EMP-0029,2016-07-21,Finance,Manager,Non-binary,39,76278.14,14167.27,90445.41,8.5,4.2,No,1.8,8,5
EMP-0030,2017-05-04,Product,Manager,M,39,136568.53,16797.79,153366.32,7.7,2.3,No,1.2,68,0
EMP-0031,2017-02-10,Operations,Mid,M,22,68757.52,2590.16,71347.68,7.9,3,No,2.7,63,11
EMP-0032,2022-12-26,Engineering,Senior,M,31,43125.56,8362.62,51488.18,2,1.3,No,1.7,32,12
EMP-0033,2015-02-25,Finance,Lead,M,37,141954.76,1189.24,143144,9.9,2.8,No,3.1,26,15
EMP-0034,2021-11-10,HR,Mid,M,57,110534.31,6999.94,117534.25,3.1,3.6,No,2.4,6,6
EMP-0035,2016-04-21,Legal,Senior,M,32,150186.61,21953.41,172140.02,8.7,2.6,No,1,5,18
EMP-0036,2022-12-20,Marketing,Senior,M,37,57866.28,1322.27,59188.55,2,3.5,No,1.2,19,17
EMP-0037,2016-03-16,Finance,Senior,Non-binary,44,151801.18,16649.51,168450.69,8.8,1.8,No,2.4,17,8
EMP-0038,2015-08-23,Product,Manager,F,56,136070.48,6455.72,142526.2,9.4,1.7,No,2.3,59,8
EMP-0039,2023-03-03,Marketing,Lead,F,38,113532.86,12888.22,126421.08,1.8,4.1,Yes,2.5,23,0
EMP-0040,2020-10-08,HR,Director,M,56,153762.21,7298.69,161060.9,4.2,3.7,Yes,1.6,36,10
EMP-0041,2021-11-11,Sales,Junior,Non-binary,26,41347.7,9693.96,51041.66,3.1,1.7,No,1.8,62,6
EMP-0042,2016-01-19,Legal,Director,M,55,125475.72,18517.11,143992.83,9,1.2,No,3.4,9,0
EMP-0043,2018-11-16,Sales,Lead,M,45,115912.88,27188.64,143101.52,6.1,2.7,No,4.2,7,19
EMP-0044,2019-09-02,Sales,Senior,M,35,174285.08,4231.61,178516.69,5.3,3.9,Yes,2.5,24,16
EMP-0045,2018-10-21,Marketing,Manager,Non-binary,48,143185.71,27430.21,170615.92,6.2,3.3,No,3.8,54,3
EMP-0046,2017-03-18,Legal,Manager,F,32,112415.57,16859.97,129275.54,7.8,4.7,No,3.2,41,11
EMP-0047,2021-11-14,HR,Manager,F,58,114115.8,10700.16,124815.96,3.1,3.2,No,2.4,57,14
EMP-0048,2021-01-24,Engineering,Senior,Non-binary,23,110053.36,27332.08,137385.44,3.9,2.2,No,4.9,27,10
EMP-0049,2015-12-27,Operations,Manager,Non-binary,57,117746.89,16826.38,134573.27,9,1.4,No,2.4,17,8
EMP-0050,2020-10-08,Finance,Senior,F,27,117720.64,16747.67,134468.31,4.2,1.9,No,3.9,61,5
EMP-0051,2022-12-23,Sales,Manager,F,24,140964.46,20308.88,161273.34,2,1.3,No,4.7,42,11
EMP-0052,2021-07-28,Sales,Mid,Non-binary,22,126913.63,20058.5,146972.13,3.4,1.2,Yes,1.2,69,18
EMP-0053,2017-06-17,Finance,Mid,M,47,175800.84,33087.49,208888.33,7.5,3.3,No,1.9,37,12
EMP-0054,2017-03-11,Sales,Lead,Non-binary,25,114482.1,7514.55,121996.65,7.8,2.6,No,4.1,16,4
EMP-0055,2022-09-07,Product,Lead,Non-binary,34,116369.3,29007.34,145376.64,2.3,3.1,No,1.3,55,10
EMP-0056,2016-02-22,Legal,Lead,F,44,62621.01,5393.62,68014.63,8.9,3.6,No,1.7,44,19
EMP-0057,2022-10-05,Product,Junior,F,34,134377.09,5240.41,139617.5,2.2,3.9,No,1.4,6,7
EMP-0058,2017-05-01,HR,Director,M,41,100258.93,570.18,100829.11,7.7,1.8,Yes,1.8,69,16
EMP-0059,2019-09-16,Marketing,Director,M,46,119535.72,19828.83,139364.55,5.3,1.2,No,1.2,25,19
EMP-0060,2019-01-15,Engineering,Junior,M,39,131132.34,29926.65,161058.99,6,2.4,No,1.1,49,7
EMP-0061,2021-09-23,Sales,Senior,M,56,47763,2374.72,50137.72,3.3,4.9,Yes,4.7,2,1
EMP-0062,2018-09-10,HR,Lead,M,32,37663.97,6443.47,44107.44,6.3,2.4,No,1.9,64,8
EMP-0063,2015-11-09,Legal,Junior,Non-binary,39,67709.49,5785.54,73495.03,9.2,2.6,No,1.4,48,16
EMP-0064,2018-07-08,Marketing,Lead,F,43,100129.53,3298.57,103428.1,6.5,3.6,Yes,3.2,25,4
EMP-0065,2019-12-23,Marketing,Lead,F,58,167981.26,13333.35,181314.61,5,3.2,No,1.7,18,0
EMP-0066,2020-07-14,Operations,Lead,F,31,147970.64,3949.76,151920.4,4.5,1.7,Yes,3.5,77,18
EMP-0067,2018-10-08,Finance,Director,M,44,46523.94,9070.15,55594.09,6.2,1.5,Yes,2.9,47,5
EMP-0068,2021-08-16,Marketing,Mid,F,36,39673.29,7582.94,47256.23,3.4,1.1,No,4.8,28,6
EMP-0069,2018-02-06,Product,Manager,M,42,160682.36,35654.89,196337.25,6.9,2.7,No,3.4,48,10
EMP-0070,2021-10-24,Engineering,Manager,M,50,101250.56,22218.6,123469.16,3.2,4.5,No,3.1,50,1
EMP-0071,2023-07-17,Engineering,Mid,F,50,92715.78,7059.24,99775.02,1.5,4.3,No,1.7,37,19
EMP-0072,2015-12-17,Marketing,Lead,M,27,139783.78,3954.89,143738.67,9,4.1,Yes,1.5,52,10
EMP-0073,2022-01-06,Product,Manager,F,51,48076.05,3895.06,51971.11,3,3.6,No,3.9,15,2
EMP-0074,2016-12-15,HR,Junior,Non-binary,46,140396.71,34228.42,174625.13,8,3.4,No,2.5,48,1
EMP-0075,2017-06-19,Marketing,Mid,F,33,146527.74,1879.6,148407.34,7.5,2.2,No,2.2,23,3
EMP-0076,2017-04-01,Operations,Junior,M,53,159034.6,21608.87,180643.47,7.8,1,No,2,75,15
EMP-0077,2022-07-15,Sales,Manager,Non-binary,22,70483.41,9644.63,80128.04,2.5,3.5,Yes,4.3,26,1
EMP-0078,2017-03-02,HR,Junior,F,24,131714.5,27594.66,159309.16,7.8,2.2,No,1.2,53,5
EMP-0079,2017-11-10,Marketing,Lead,Non-binary,45,170064.57,3959.37,174023.94,7.1,2.2,No,4.6,8,13
EMP-0080,2023-02-10,Product,Mid,M,39,82735.24,8558.09,91293.33,1.9,1.8,No,3.4,13,18
EMP-0081,2023-02-16,Operations,Lead,Non-binary,42,72650.71,10446.13,83096.84,1.9,3.5,No,3.5,63,16
EMP-0082,2022-08-26,Marketing,Manager,F,40,176992.36,69.95,177062.31,2.4,1.1,No,3.9,26,19
EMP-0083,2021-07-02,HR,Senior,Non-binary,35,36638.1,1842.78,38480.88,3.5,2.1,No,2.2,64,17
EMP-0084,2020-01-04,HR,Senior,M,58,124319.03,904.96,125223.99,5,1.7,No,4.3,61,15
EMP-0085,2015-11-05,Product,Mid,M,56,164909.65,19066.44,183976.09,9.2,4.3,No,4.3,38,18
EMP-0086,2020-09-18,Engineering,Mid,Non-binary,43,150932.62,33508.15,184440.77,4.3,2.4,No,2.1,3,10
EMP-0087,2021-11-18,Marketing,Manager,Non-binary,46,62169.94,1816.06,63986,3.1,4.1,No,3.8,40,1
EMP-0088,2019-07-03,Product,Mid,F,50,155271.33,11747.39,167018.72,5.5,3.1,No,1.4,4,6
EMP-0089,2016-08-17,Engineering,Lead,Non-binary,31,62580.69,14450.46,77031.15,8.4,3.9,Yes,2.2,41,4
EMP-0090,2016-09-22,Marketing,Mid,M,51,91200.29,19717.74,110918.03,8.3,1.5,No,4.7,76,2
EMP-0091,2020-08-02,Sales,Manager,F,23,118746.18,9266.44,128012.62,4.4,4.6,No,1.8,36,8
EMP-0092,2023-06-25,Product,Director,M,39,56651.5,3875.49,60526.99,1.5,1.1,Yes,3.2,13,6
EMP-0093,2023-06-18,HR,Senior,F,40,118242.03,5062.98,123305.01,1.5,2.2,No,3.2,6,4
EMP-0094,2015-08-22,Engineering,Junior,M,25,47487.34,4652.77,52140.11,9.4,3.8,Yes,3.5,57,19
EMP-0095,2020-05-11,Finance,Director,Non-binary,27,176183.87,33287.43,209471.3,4.6,2.9,No,1.4,59,3
EMP-0096,2022-05-22,Product,Lead,F,36,55839.64,12503.9,68343.54,2.6,2,No,2.6,42,10
EMP-0097,2022-08-01,Sales,Lead,M,44,104404.55,22075.46,126480.01,2.4,2.1,No,3.4,16,16
EMP-0098,2016-07-27,Sales,Senior,Non-binary,26,149902.49,19964.97,169867.46,8.4,2.6,No,2,31,17
EMP-0099,2017-08-13,Sales,Senior,F,49,148725.53,16187.05,164912.58,7.4,4.1,Yes,3.8,22,2
EMP-0100,2022-02-19,Product,Senior,Non-binary,28,154193.34,6791.21,160984.55,2.9,4.8,No,3.4,76,12
EMP-0101,2020-08-21,Engineering,Junior,F,30,163652.92,36955.12,200608.04,4.4,3.5,No,4,19,14
EMP-0102,2023-05-13,Product,Mid,F,42,78461.62,15581.43,94043.05,1.6,3.7,No,3.9,44,2
EMP-0103,2015-10-17,Legal,Mid,F,25,88537.32,12149.2,100686.52,9.2,1.2,Yes,4.3,45,3
EMP-0104,2019-01-08,Legal,Director,Non-binary,47,125656.07,22359.67,148015.74,6,2.6,No,3.2,22,15
EMP-0105,2017-04-18,Legal,Senior,M,31,76828.28,16762.7,93590.98,7.7,1.5,No,1.3,2,4
EMP-0106,2022-11-14,Marketing,Junior,F,48,159722.15,35681.23,195403.38,2.1,3.8,No,3.5,58,16
EMP-0107,2021-09-27,Product,Lead,F,36,61939.7,9361.77,71301.47,3.3,3.3,No,3.8,34,13
EMP-0108,2023-10-12,Engineering,Junior,Non-binary,52,137207.97,3881.76,141089.73,1.2,2.9,No,1.6,67,8
EMP-0109,2022-09-03,Sales,Mid,M,26,134190.73,18088.82,152279.55,2.3,3.3,Yes,1.2,43,17
EMP-0110,2015-08-15,Product,Manager,F,48,86172.61,21064.04,107236.65,9.4,2.2,No,1.1,76,9
EMP-0111,2019-01-21,Product,Manager,F,58,42484.88,10518.88,53003.76,5.9,4.2,Yes,1.1,62,2
EMP-0112,2017-09-03,Operations,Senior,F,39,74906.48,4811.91,79718.39,7.3,4,Yes,1.7,75,4
EMP-0113,2022-06-26,Marketing,Senior,F,53,61217.33,8071.33,69288.66,2.5,1.1,No,4.9,76,4
EMP-0114,2022-07-25,Legal,Mid,M,32,65574.23,12038.79,77613.02,2.4,2.4,No,4,14,1
EMP-0115,2017-08-13,Product,Senior,M,56,68880.89,11770.19,80651.08,7.4,2.6,No,1.6,55,0
EMP-0116,2019-08-13,HR,Manager,M,28,168068.26,26782.69,194850.95,5.4,4.8,No,3.4,34,10
EMP-0117,2019-05-26,Sales,Senior,Non-binary,47,101860.75,17196.41,119057.16,5.6,2,Yes,4.1,66,10
EMP-0118,2017-06-18,Engineering,Director,M,26,36734.4,897.23,37631.63,7.5,1.4,No,2.4,36,8
EMP-0119,2018-01-01,Sales,Junior,Non-binary,35,172820.9,27568.51,200389.41,7,3.8,No,1.3,77,4
EMP-0120,2021-11-25,Marketing,Junior,F,38,77712.45,12831.84,90544.29,3.1,1.3,No,4.7,35,13
EMP-0121,2020-05-06,Sales,Senior,M,46,91345.61,22744.11,114089.72,4.7,2,No,1.7,8,15
EMP-0122,2018-10-13,Marketing,Director,M,28,55861.53,10735.29,66596.82,6.2,1.9,No,4.7,33,3
EMP-0123,2015-02-03,Operations,Lead,M,53,56583.87,9058.16,65642.03,9.9,4.7,No,2.1,42,12
EMP-0124,2015-09-23,Product,Lead,M,47,157387.13,30727.36,188114.49,9.3,4.1,Yes,1.9,49,15
EMP-0125,2016-10-18,HR,Senior,F,47,43003.23,10718.72,53721.95,8.2,3.6,No,3.1,43,2
EMP-0126,2022-05-21,Finance,Mid,Non-binary,24,175289.38,28954.92,204244.3,2.6,2.2,No,4.6,80,11
EMP-0127,2022-02-21,Product,Director,F,30,40176.25,254.76,40431.01,2.9,5,No,3,8,17
EMP-0128,2019-08-18,Product,Junior,M,43,43127.9,8493.81,51621.71,5.4,1.2,No,1.8,66,14
EMP-0129,2023-03-24,Finance,Junior,M,31,105889.73,504.64,106394.37,1.8,4.6,Yes,1.2,16,0
EMP-0130,2017-11-02,Operations,Junior,M,32,156126.06,2496.36,158622.42,7.2,4.3,No,3,78,7
EMP-0131,2016-04-14,HR,Director,M,42,52516.35,8981.46,61497.81,8.7,3.2,No,4.3,27,1
EMP-0132,2017-06-03,Sales,Senior,F,48,59367.37,5490.4,64857.77,7.6,1.7,No,4.7,5,4
EMP-0133,2016-11-20,Legal,Mid,M,53,46704.78,84.35,46789.13,8.1,4.7,Yes,4.5,53,15
EMP-0134,2017-04-05,Operations,Manager,M,48,69691.8,3041.16,72732.96,7.7,3.8,Yes,1.7,63,19
EMP-0135,2016-11-27,Operations,Senior,M,22,115868.01,5558.85,121426.86,8.1,4.9,No,3.5,69,16
EMP-0136,2018-08-25,Finance,Senior,M,34,51338.47,1915.15,53253.62,6.4,4.4,No,3,20,1
EMP-0137,2015-11-12,Operations,Mid,M,38,83472.72,16802.09,100274.81,9.1,4,No,1.4,6,17
EMP-0138,2017-03-26,Engineering,Lead,Non-binary,29,45274.63,2663.28,47937.91,7.8,2.8,Yes,2.3,25,10
EMP-0139,2018-02-11,Finance,Junior,F,48,161133.51,15127.71,176261.22,6.9,1.9,No,3.3,6,13
EMP-0140,2017-04-20,Product,Mid,M,45,54778.67,9857.71,64636.38,7.7,3.5,No,1.8,16,1
EMP-0141,2015-05-05,Sales,Lead,M,48,59824.19,5138.54,64962.73,9.7,4.5,Yes,1.6,78,5
EMP-0142,2023-04-03,Legal,Manager,M,35,120779.23,25272.72,146051.95,1.7,2.1,No,3.9,31,7
EMP-0143,2020-07-19,Finance,Manager,F,58,165246.51,17258.84,182505.35,4.5,1.2,No,3.9,64,1
EMP-0144,2021-09-13,Product,Director,M,50,106816.33,2218.88,109035.21,3.3,4,No,4.8,16,11
EMP-0145,2019-04-21,Sales,Junior,M,41,58461.41,6712.58,65173.99,5.7,3.3,Yes,1.1,58,14
EMP-0146,2017-12-13,Marketing,Senior,M,22,159755.48,2823.62,162579.1,7.1,4.6,No,3.1,37,13
EMP-0147,2019-12-20,Finance,Director,M,43,141685.31,1941.5,143626.81,5,4.8,No,4.6,14,12
EMP-0148,2020-08-20,Engineering,Senior,F,33,128985.04,22729.54,151714.58,4.4,3.2,No,1.6,42,7
EMP-0149,2023-02-21,Product,Director,Non-binary,35,144210.16,27431.87,171642.03,1.9,2.3,No,3,54,8
EMP-0150,2015-02-12,HR,Lead,M,54,111368.98,3416.51,114785.49,9.9,3.8,Yes,4.6,57,19
EMP-0151,2020-11-23,Sales,Mid,M,27,46624.71,10466.62,57091.33,4.1,2.2,No,1.4,35,3
EMP-0152,2017-08-05,Finance,Manager,M,40,95397.82,16274.95,111672.77,7.4,4.7,No,2.4,56,20
EMP-0153,2015-05-07,Sales,Junior,F,55,128477.44,13223.27,141700.71,9.7,2.4,No,2.9,67,17
EMP-0154,2022-08-10,Marketing,Senior,F,38,67883.38,6311.5,74194.88,2.4,2.2,No,1.6,36,14
EMP-0155,2017-10-06,Operations,Mid,F,31,58381.93,1706.46,60088.39,7.2,5,Yes,1.5,33,11
EMP-0156,2017-04-18,Engineering,Director,F,44,56451.91,6328.67,62780.58,7.7,4.9,Yes,2.2,3,12
EMP-0157,2022-03-15,HR,Mid,M,56,176462.15,14614.62,191076.77,2.8,3.8,No,4.6,73,4
EMP-0158,2022-06-23,Sales,Director,M,24,55216.38,7605.5,62821.88,2.5,2.2,No,3.5,28,14
EMP-0159,2020-02-11,Engineering,Manager,F,55,67210.86,15721.71,82932.57,4.9,2.1,No,1.3,57,2
EMP-0160,2023-07-07,Product,Senior,Non-binary,54,171793.31,39016.28,210809.59,1.5,2.4,No,3.9,54,11
EMP-0161,2021-06-01,Operations,Senior,F,41,176740.93,38631.23,215372.16,3.6,1.4,No,4,53,14
EMP-0162,2019-03-26,Legal,Director,M,30,156149.17,23341.79,179490.96,5.8,1.6,No,2.9,67,10
EMP-0163,2016-10-25,Legal,Junior,M,48,127626.87,8721.03,136347.9,8.2,1.7,No,3.8,17,6
EMP-0164,2017-07-10,Product,Junior,F,41,106644.57,19725.41,126369.98,7.5,1.9,No,1.6,38,20
EMP-0165,2022-02-21,Operations,Lead,F,53,166485.01,26836.79,193321.8,2.9,1.1,No,3,8,19
EMP-0166,2020-10-16,Legal,Senior,M,29,89114.32,16329.25,105443.57,4.2,1.1,No,1.7,7,4
EMP-0167,2020-08-23,Marketing,Senior,F,25,74537.2,7817.35,82354.55,4.4,4.6,No,1.2,37,16
EMP-0168,2016-09-07,Marketing,Junior,Non-binary,32,113838.29,24829.36,138667.65,8.3,4.3,No,2.1,46,3
EMP-0169,2023-10-12,Marketing,Junior,F,55,75805.58,14759.5,90565.08,1.2,2.6,No,1.4,19,16
EMP-0170,2018-04-26,Sales,Lead,M,26,51902.02,1702.8,53604.82,6.7,1.1,No,2.2,46,4
EMP-0171,2022-10-17,HR,Mid,F,23,142946.73,4238.26,147184.99,2.2,1.5,No,3.8,39,4
EMP-0172,2018-03-03,Legal,Director,M,26,37726.93,4567.36,42294.29,6.8,2.7,No,1.4,65,18
EMP-0173,2015-08-04,Operations,Junior,M,41,131800.03,24862.44,156662.47,9.4,4.1,Yes,1.8,25,5
EMP-0174,2020-01-03,Marketing,Director,F,44,86069.47,18400.32,104469.79,5,4.1,Yes,2,72,2
EMP-0175,2016-10-25,Engineering,Manager,F,34,174818.25,7507.28,182325.53,8.2,4,No,4.9,12,6
EMP-0176,2023-12-16,HR,Director,Non-binary,33,98751.55,23644.77,122396.32,1,1.7,No,4.9,54,6
EMP-0177,2023-04-14,Sales,Senior,M,51,50995.84,1732.74,52728.58,1.7,4,No,3.2,5,2
EMP-0178,2020-08-04,Legal,Senior,M,41,134621.75,28307.26,162929.01,4.4,1.9,No,2.2,54,6
EMP-0179,2016-08-22,HR,Mid,M,53,132453.84,13125.17,145579.01,8.4,3.1,No,1.5,50,12
EMP-0180,2016-12-06,Sales,Senior,F,43,64038.21,13512.53,77550.74,8.1,2.6,No,4.4,63,8
EMP-0181,2019-11-13,HR,Lead,Non-binary,47,178190.86,22782.35,200973.21,5.1,1.6,No,1.4,32,15
EMP-0182,2022-04-21,Marketing,Junior,M,25,155395.31,19351.96,174747.27,2.7,1.1,No,2.5,41,4
EMP-0183,2019-10-20,Sales,Junior,Non-binary,53,149946.06,7569.72,157515.78,5.2,3.6,No,3,69,10
EMP-0184,2023-09-01,Engineering,Lead,M,46,100266.75,21378.73,121645.48,1.3,2.8,No,1.1,71,9
EMP-0185,2017-08-14,Marketing,Senior,M,53,145781.62,20732.16,166513.78,7.4,3,Yes,3.7,73,15
EMP-0186,2022-09-28,Marketing,Manager,M,47,73191.69,10814.9,84006.59,2.3,2.5,No,4.1,36,10
EMP-0187,2015-01-19,Engineering,Mid,F,44,152385.25,22246.99,174632.24,10,4.1,No,2.5,54,11
EMP-0188,2020-07-12,Engineering,Director,F,37,69020.2,5385.29,74405.49,4.5,1.3,No,4.5,14,10
EMP-0189,2017-01-18,HR,Junior,M,49,117367.16,26448.98,143816.14,8,2.1,No,3.4,40,12
EMP-0190,2021-06-19,Sales,Lead,M,35,83715.28,10522.35,94237.63,3.5,4.1,No,1.7,38,11
EMP-0191,2021-04-16,Sales,Manager,F,40,73447.49,5459.36,78906.85,3.7,3.3,No,3.5,11,18
EMP-0192,2016-10-11,Operations,Junior,Non-binary,55,103913.91,5448.7,109362.61,8.2,4.2,No,3,38,13
EMP-0193,2023-06-07,Legal,Lead,F,54,100718.15,19223.12,119941.27,1.6,1.7,No,3.5,66,5
EMP-0194,2022-04-22,Product,Senior,Non-binary,49,170522.21,30976,201498.21,2.7,1.2,No,2.5,18,7
EMP-0195,2017-12-22,Operations,Lead,M,42,159726.96,36383.32,196110.28,7,3.5,No,2.1,36,20
EMP-0196,2017-05-22,Finance,Lead,F,29,56744.53,393.02,57137.55,7.6,4.2,No,2.9,71,13
EMP-0197,2021-11-02,Finance,Mid,F,30,39225.57,7743.81,46969.38,3.2,2.1,Yes,1.7,5,15
EMP-0198,2015-01-28,Sales,Senior,Non-binary,41,160739.91,36189.58,196929.49,9.9,2.6,No,3.7,11,12
EMP-0199,2017-04-04,Sales,Manager,Non-binary,55,71512.17,15814.29,87326.46,7.7,2,No,4.1,40,10
EMP-0200,2021-12-24,Finance,Lead,F,31,50488.03,2702.48,53190.51,3,2.1,No,2,75,1
EMP-0201,2022-09-12,Sales,Senior,Non-binary,49,103853.85,6396.01,110249.86,2.3,2.1,No,2.5,47,9
EMP-0202,2015-11-20,Engineering,Director,M,37,71682.52,6893.89,78576.41,9.1,3.6,No,4.6,15,17
EMP-0203,2018-08-13,Engineering,Lead,F,41,48086.3,9890.24,57976.54,6.4,1.9,No,4.4,20,14
EMP-0204,2020-11-14,Engineering,Senior,M,53,103308.24,10665.58,113973.82,4.1,4.4,No,4.5,12,5
EMP-0205,2019-09-03,HR,Lead,Non-binary,57,141978.9,16088.4,158067.3,5.3,1.1,No,3.6,23,20
EMP-0206,2022-11-05,Engineering,Lead,F,41,80489.66,1654.71,82144.37,2.2,1.6,Yes,3.9,16,19
EMP-0207,2021-06-15,Product,Director,F,38,60154.46,8918.21,69072.67,3.5,2.3,No,1.8,53,11
EMP-0208,2017-07-13,Finance,Junior,M,57,128830.47,20182.17,149012.64,7.5,4.6,No,1.8,21,1
EMP-0209,2021-10-14,Operations,Mid,M,45,59667.82,8461.54,68129.36,3.2,1.1,Yes,2.7,58,15
EMP-0210,2016-04-23,Finance,Mid,F,40,143234.24,13681.5,156915.74,8.7,2.7,No,3.4,36,6
EMP-0211,2021-03-14,Marketing,Junior,F,38,69145.42,7795.74,76941.16,3.8,2,Yes,3.7,58,2
EMP-0212,2015-08-05,HR,Director,M,35,138433.71,24518.45,162952.16,9.4,3.9,No,1.3,71,1
EMP-0213,2015-06-08,Product,Senior,Non-binary,24,35777.34,4512.79,40290.13,9.6,2.5,No,3.7,16,17
EMP-0214,2015-10-06,Operations,Mid,Non-binary,53,169897.41,37288.1,207185.51,9.2,1.5,No,3.8,55,4
EMP-0215,2019-02-11,Engineering,Mid,M,39,143434.39,33213.56,176647.95,5.9,2.1,No,3.5,33,16
EMP-0216,2020-07-06,HR,Director,M,31,115572.83,26664.18,142237.01,4.5,3.5,No,1.2,19,1
EMP-0217,2018-03-02,Product,Senior,F,51,98282.33,24452.69,122735.02,6.8,4.7,No,2.8,71,15
EMP-0218,2022-08-04,Marketing,Junior,F,27,64541.39,4584.32,69125.71,2.4,4.3,Yes,4.3,72,18
EMP-0219,2018-10-01,Marketing,Lead,M,37,146396.75,24774.3,171171.05,6.3,4.5,No,2.1,15,12
EMP-0220,2020-10-04,HR,Mid,M,27,101733.81,17999.42,119733.23,4.2,2.9,No,3.4,0,10
EMP-0221,2015-11-20,Product,Senior,Non-binary,30,65648.19,798.98,66447.17,9.1,3.6,No,4.2,9,17
EMP-0222,2021-02-13,Operations,Mid,F,47,47932.3,10213.72,58146.02,3.9,1.7,No,2.1,19,3
EMP-0223,2019-08-26,Legal,Director,F,30,87061.42,2091.9,89153.32,5.4,2.5,No,3,49,15
EMP-0224,2019-10-20,Legal,Junior,M,45,124010.83,13458.46,137469.29,5.2,2.7,No,3.1,59,7
EMP-0225,2017-08-17,Sales,Senior,M,49,46481.55,9314.26,55795.81,7.4,2.2,No,3.7,38,7
EMP-0226,2023-07-10,Engineering,Manager,M,24,109445.11,13972.08,123417.19,1.5,2.7,No,3.6,72,8
EMP-0227,2020-05-19,Sales,Manager,M,29,142374.84,16475.58,158850.42,4.6,4.1,No,1.2,53,9
EMP-0228,2020-10-24,Product,Director,M,38,84493.49,19393.62,103887.11,4.2,4.2,No,1.7,77,8
EMP-0229,2016-07-18,Engineering,Junior,M,29,36929.17,6054.55,42983.72,8.5,2.8,No,4.5,77,15
EMP-0230,2019-10-27,HR,Director,M,41,47707.09,1611.47,49318.56,5.2,1.8,No,3.8,24,0
EMP-0231,2018-08-21,Marketing,Director,F,49,157103.01,33706.03,190809.04,6.4,3.2,No,2.2,59,4
EMP-0232,2022-07-01,Sales,Mid,F,50,174760.7,20599.45,195360.15,2.5,4.4,Yes,2,37,18
